cast,director,runtime,genres,production_companies,release_year,release_month,budget_adj,has_profits
Alex Pettyfer|Sarah Bolger|Ewan McGregor|Robbie Coltrane|Stephen Fry,Geoffrey Sax,93,Adventure|Action|Family,"Isle of Man Film|Weinstein Company, The|Samuelson Productions",2006,7,43266766.3317,False
Tyler Perry|Blair Underwood|Lynn Whitfield|Boris Kodjoe|Lisa Arrindell,Tyler Perry,110,Drama|Comedy|Romance,Lions Gate Films,2006,2,6490014.94975,True
Julia Roberts|Steve Buscemi|John Cleese|Oprah Winfrey|Cedric the Entertainer,Gary Winick,97,Comedy|Family|Fantasy,Paramount Pictures|Kerner Entertainment Company,2006,12,91941878.4548,False
Antonio Banderas|Rob Brown|Yaya DaCosta|Alfre Woodard|John Ortiz,Liz Friedlander,108,Music,New Line Cinema|Tiara Blu Films,2006,3,32450074.7487,True
Tim Allen|Courteney Cox|Chevy Chase|Spencer Breslin|Kevin Zegers,Peter Hewitt,83,Fantasy|Comedy|Family,Columbia Pictures|Revolution Studios,2006,8,37858420.5402,False
Emma Roberts|Joanna 'JoJo' Levesque|Sara Paxton|Jake McDorman|Arielle Kebbel,Elizabeth Allen Rosenbaum,104,Fantasy|Romance|Family|Comedy,Fox 2000 Pictures|Storefront Pictures,2006,3,12980029.8995,True
Christian Bale|Steve Zahn|Marshall Bell|Toby Huss|Pat Healy,Werner Herzog,126,Adventure|Drama|War,Metro-Goldwyn-Mayer (MGM),2006,9,10816691.5829,False
Cillian Murphy|PÃ¡draic Delaney|Liam Cunningham|Orla Fitzgerald|Gerard Kearney,Ken Loach,124,Drama|History|War,BIM Distribuzione|Matador Pictures|Diaphana Films|BÃ³rd ScannÃ¡n na hÃ‰ireann|Element Films,2006,5,7030849.5289,True
Bruce Willis|Mos Def|David Morse|Jenna Stern|David Zayas,Richard Donner,105,Action|Adventure|Crime|Thriller,Donners' Company|Cheyenne Enterprises|Alcon Entertainment|Nu Image Entertainment GmbH|Millennium Films,2006,3,59491803.706,True
Scarlett Johansson|Hugh Jackman|Woody Allen|Ian McShane|Kevin McNally,Woody Allen,96,Comedy|Mystery,BBC Films|Ingenious Film Partners|Ingenious Media|Perdido Prod.,2006,7,4326676.63317,True
Queen Latifah|LL Cool J|Timothy Hutton|Giancarlo Esposito|Alicia Witt,Wayne Wang,112,Adventure|Comedy|Drama,Paramount Pictures,2006,1,48675112.1231,False
Judi Dench|Cate Blanchett|Bill Nighy|Juno Temple|Max Lewis,Richard Eyre,92,Drama|Romance,Fox Searchlight Pictures|Scott Rudin Productions|DNA Films|BBC Films|Ingenious Film Partners,2006,12,16225037.3744,True
J.J. Johnson|Polly Adams|Trish Gates|Nancy McDoniel|Opal Alladin,Paul Greengrass,111,Drama|History|Crime|Thriller|Action,Universal Pictures|StudioCanal|Sidney Kimmel Entertainment|Working Title Films,2006,4,16225037.3744,True
Aml Ameen|Red Madrell|Noel Clarke|Adam Deacon|Jaime Winstone,Menhaj Huda,89,Drama,Cipher Films|Stealth Films Limited|TMC Films,2006,3,1075179.14334,False
Jaime Pressly|Devon Aoki|Holly Valance|Sarah Carter|Natassia Malthe,Corey Yuen Kwai,87,Adventure|Action|Thriller,Impact Pictures|Constantin Film Produktion|Mindfire Entertainment|Team Ninja|VIP 4 Medienfonds,2006,9,22715052.3241,False
Helen Mirren|Michael Sheen|James Cromwell|Sylvia Syms|Helen McCrory,Stephen Frears,103,Drama,BIM Distribuzione|Granada Film Productions|Scott Rudin Productions|PathÃ© Renn Productions|PathÃ© Pictures International,2006,9,16225037.3744,True
Michael Douglas|Kiefer Sutherland|Eva Longoria|Martin Donovan|Ritchie Coster,Clark Johnson,108,Action|Thriller|Crime,Twentieth Century Fox Film Corporation|Dune Entertainment|Major Studio Partners|Regency Enterprises|Epsilon Motion Pictures,2006,4,64900149.4975,True
George Clooney|Cate Blanchett|Tobey Maguire|Tony Curran|Leland Orser,Steven Soderbergh,108,War|Crime|Drama|Mystery|Romance,Warner Bros.|Section Eight Productions|Sunset Gower Studios,2006,12,34613413.0653,False
James Franco|Scott Hazell|Mac McDonald|Philip Winchester|Todd Boyce,Tony Bill,140,Action|Adventure|Drama|History|Romance,Ingenious Film Partners|Electric Entertainment|Skydance Productions|Flyboys Films,2006,9,64900149.4975,False
Paul Walker|Cameron Bright|Vera Farmiga|Chazz Palminteri|Karel Roden,Wayne Kramer,122,Action|Crime|Drama|Thriller,International Production Company|True Grit Productions|Zero Gravity Management|Pierce/Williams Entertainment,2006,1,16225037.3744,False
Jennifer Garner|Timothy Olyphant|Kevin Smith|Sam Jaeger|Juliette Lewis,Susannah Grant,111,Comedy|Drama|Romance,Columbia Pictures Corporation|Relativity Media,2006,10,27041728.9573,False
Sarah Michelle Gellar|Amber Tamblyn|Edison Chen|Arielle Kebbel|Jennifer Beals,Takashi Shimizu,102,Horror|Thriller,Columbia Pictures Corporation|Ghost House Pictures|Vertigo Entertainment,2006,10,21633383.1658,True
James Marsden|Brian Dennehy|Leo Rossi|Dennis Hopper|Giovanni Ribisi,Robert Moresco,107,Action|Crime|Drama|Mystery|Thriller,Thinkfilm,2006,2,8653353.26633,False
Harrison Ford|Paul Bettany|Virginia Madsen|Carly Schroeder|Jimmy Bennett,Richard Loncraine,105,Thriller,Village Roadshow Pictures|Thunder Road Pictures|Warner Bros.|Beacon Pictures|Jon Shestack Productions,2006,2,48675112.1231,True
Liam Neeson|Pierce Brosnan|Michael Wincott|Xander Berkeley|Ed Lauter,David Von Ancken,115,Western|Drama,Icon Productions,2006,9,19470044.8492,False
Maggie Gyllenhaal|Michelle Hurst|Sandra RodrÃ­guez|Danny Trejo|Brad William Henke,Laurie Collyer,96,Drama,Red Envelope Entertainment,2006,9,2163338.31658,False
Viggo Mortensen|Elena Anaya|Unax Ugalde|Eduard FernÃ¡ndez|Eduardo Noriega,AgustÃ­n DÃ­az Yanes,145,Action,Twentieth Century Fox Film Corporation|Estudios Picasso|NBC Universal Global Networks|Origen Producciones Cinematograficas S.A.,2006,9,25960059.799,False
Jack Black|Kyle Gass|Ronnie James Dio|Tim Robbins|Meat Loaf,Liam Lynch,93,Comedy|Music,Red Hour Films,2006,11,23796721.4824,False
Robin Williams|Christopher Walken|Laura Linney|Lewis Black|Jeff Goldblum,Barry Levinson,115,Comedy|Drama|Romance|Thriller,Universal Pictures|Morgan Creek Productions,2006,10,21633383.1658,True
Steven Strait|Laura Ramsey|Jessica Lucas|Taylor Kitsch|Chace Crawford,Renny Harlin,97,Action|Adventure|Fantasy|Horror|Science Fiction,"Screen Gems, Inc.",2006,9,21633383.1658,True
Camilla Belle|Katie Cassidy|Tommy Flanagan|Brian Geraghty|Clark Gregg,Simon West,87,Horror|Thriller,Davis Entertainment|Screen Gems,2006,2,16225037.3744,True
Sigourney Weaver|Toby Jones|Gwyneth Paltrow|Sandra Bullock|Isabella Rossellini,Douglas McGrath,110,Drama,Killer Films|Longfellow Pictures|Warner Independent Pictures (WIP)|Jack and Henry Productions Inc.,2006,11,14061699.0578,False
Michael Carbonaro|Jonah Blechman|Jonathan Chase|Mitch Morris|Ashlie Atkinson,Todd Stephens,92,Comedy|Romance,TLA Releasing|Luna Filmproduktion,2006,4,540834.579146,True
Hrithik Roshan|Abhishek Bachchan|Aishwarya Rai Bachchan|Uday Chopra|Bipasha Basu,Sanjay Gadhvi,147,Drama|Action|Thriller|Crime,Yash Raj Films,2006,11,11898360.7412,True
Katie Cassidy|Michelle Trachtenberg|Kristen Cloke|Mary Elizabeth Winstead|Lacey Chabert,Glen Morgan,84,Horror|Thriller,Dimension Films,2006,12,9735022.42462,True
Billy Bob Thornton|Virginia Madsen|Max Thieriot|Jasper Polish|Logan Polish,Michael Polish,104,Adventure|Comedy|Drama|Science Fiction,Polish Brothers Construction,2006,10,14061699.0578,False
Billy Connolly|Carrie-Anne Moss|Dylan Baker|Kesun Loder|Henry Czerny,Andrew Currie,91,Romance|Comedy|Drama|Horror,Lions Gate Films|Astral Media|Anagram Pictures Inc.,2006,9,8653353.26633,False
T.I.|Evan Ross|Jackie Long|Lauren London|Albert Daniels,Christian Robinson,105,Drama,Warner Bros.,2006,3,21633383.1658,True
Ashley Judd|Michael Shannon|Harry Connick Jr.|Lynn Collins|BrÃ­an F. O'Byrne,William Friedkin,102,Horror|Thriller,Lions Gate Films|L.I.F.T. Production|DMK Mediafonds International,2006,5,4326676.63317,True
Paul Giamatti|Jeffrey Wright|Bob Balaban|Sarita Choudhury|Cindy Cheung,M. Night Shyamalan,110,Drama|Thriller|Fantasy|Mystery,Legendary Pictures|Warner Bros.|Blinding Edge Pictures,2006,7,81125186.8719,False
Dwayne Johnson|Xzibit|L. Scott Caldwell|Leon Rippy|Kevin Dunn,Phil Joanou,125,Action|Adventure|Crime|Drama,Columbia Pictures,2006,9,32450074.7487,True
James Blackwell|Alex Kendrick|Shannen Fields|Chris WIllis|Tracy Goode,Alex Kendrick,111,Drama,Destination Films,2006,9,108166.915829,True
Samuel Anderson|James Corden|Stephen Campbell Moore|Richard Griffiths|Frances de la Tour,Nicholas Hytner,109,Comedy|Drama,DNA Films|BBC Films|UK Film Council,2006,10,4326676.63317,True
Kal Penn|Tabu|Irrfan Khan|Sahira Nair|Jacinda Barrett,Mira Nair,122,Drama,Fox Searchlight Pictures|Mirabai Films,2006,9,12980029.8995,True
Al Gore|Billy West|Ronald Reagan|George W. Bush|George H. W. Bush,Davis Guggenheim,100,Documentary,Lawrence Bender Productions|Participant Media,2006,1,1081669.15829,True
Dax Shepard|Will Arnett|Chi McBride|David Koechner|Dylan Baker,Bob Odenkirk,84,Comedy|Crime,Universal Pictures,2006,11,4326676.63317,True
Thomas Turgoose|Stephen Graham|Jo Hartley|Andrew Shim|Vicky McClure,Shane Meadows,101,Drama|Crime,EM Media|UK Film Council|Screen Yorkshire|Big Arty Productions,2006,9,2574372.59673,True
Billy Bob Thornton|Jon Heder|Jacinda Barrett|Sarah Silverman|Michael Clarke Duncan,Todd Phillips,100,Comedy|Drama|Romance,Dimension Films,2006,9,21633383.1658,False
James Franco|Donnie Wahlberg|Jim Parrack|Tyrese Gibson|Jordana Brewster,Justin Lin,108,Drama,Touchstone Pictures,2006,1,28123398.1156,False
Jamel Debbouze|Samy Naceri|Roschdy Zem|Sami Bouajila|Bernard Blancan,Rachid Bouchareb,128,Drama|History|War,Tessalit Productions,2006,5,15684202.7952,True
Jon Foster|Samaire Armstrong|Frankie Muniz|Jimmi Simpson|Wendell Pierce,William Brent Bell,100,Horror|Thriller,Spyglass Entertainment|Hollywood Pictures|Endgame Entertainment|Wonderland Sound and Vision,2006,3,9735022.42462,True
Adam Scott|Kate Beahan|Sarah Michelle Gellar|Peter O'Brien|Sam Shepard,Asif Kapadia,85,Drama|Thriller,Rogue Pictures|Intrepid Pictures|Biscayne Pictures|Raygun Productions|Rosey Film Productions LLC,2006,11,16225037.3744,False
Crusoe Kurddal|Jamie Gulpilil|Richard Birrinbirrin|David Gulpilil|Peter Minygululu ,Rolf de Heer|Peter Djigirr,90,Adventure|Comedy|Drama,Fandango|Vertigo Productions|SBS Independent|Adelaide Film Festival,2006,6,2163338.31658,False
Hugh Jackman|Halle Berry|Ian McKellen|Patrick Stewart|Famke Janssen,Brett Ratner,104,Adventure|Action|Science Fiction|Thriller,20th Century Fox,2006,5,227150523.241,True
Martin Sheen|Mel Gibson|Tom Hanks,Chris Paine,92,Documentary,Electric Entertainment|Plinyminor|Papercut Films,2006,1,1081669.15829,True
Keke Palmer|Laurence Fishburne|Angela Bassett|Curtis Armstrong|J.R. Villarreal,Doug Atchison,112,Drama,Lions Gate Films|2929 Productions|Out of the Blue... Entertainment|Starbucks Entertainment|Cinema Gypsy Productions,2006,4,8653353.26633,True
John Paul Tremblay|Robb Wells|Mike Smith|Patrick Roach|Lucy Decoutere,Mike Clattenburg,95,Action|Comedy,Alliance Films,2006,10,5408345.79146,False
Guy Pearce|Piper Perabo|Steven Michael Quezada|J.K. Simmons|Nicholas Ballas,Mark Fergus,101,Drama|Thriller,Yari Film Group|Furst Films,2006,5,8653353.26633,False
Catherine O'Hara|Harry Shearer|Parker Posey|Christopher Moynihan|John Michael Higgins,Christopher Guest,86,Comedy|Drama,Shangri-La Entertainment,2006,11,12980029.8995,False
Danny McBride|Ben Best|Mary Jane Bostic|Jody Hill|Collette Wolfe,Jody Hill,85,Comedy,Gary Sanchez Productions,2006,6,85451.863505,True
Michael Rapaport|Josh Peck|Robert Baker|Jack Kehler|Alexandra Holden,Hal Haberman|Jeremy Passmore,81,Drama|Fantasy|Science Fiction,Rival Pictures,2006,1,1081669.15829,False
Daniel Radcliffe|Rupert Grint|Emma Watson|Gary Oldman|David Thewlis,Alfonso CuarÃ³n,141,Adventure|Fantasy|Family,1492 Pictures|Warner Bros.|Heyday Films|P of A Productions Limited,2004,5,150077901.976,True
Uma Thurman|David Carradine|Daryl Hannah|Michael Madsen|Gordon Liu Chia-Hui,Quentin Tarantino,136,Action|Crime|Thriller,Miramax Films|A Band Apart|Super Cool ManChu,2004,4,34633361.9944,True
RenÃ©e Zellweger|Hugh Grant|Colin Firth|Jim Broadbent|Gemma Jones,Beeban Kidron,108,Comedy|Romance,Miramax Films|Universal Pictures|Studio Canal|Working Title Films|Atlantic Television,2004,11,57722269.9906,False
Jim Carrey|Kate Winslet|Elijah Wood|Mark Ruffalo|Kirsten Dunst,Michel Gondry,108,Science Fiction|Drama|Romance,Anonymous Content|This Is That Productions|Focus Features,2004,3,23088907.9962,True
Rachel McAdams|Ryan Gosling|Gena Rowlands|James Garner|Sam Shepard,Nick Cassavetes,123,Romance|Drama,New Line Cinema,2004,6,33478916.5946,True
Craig T. Nelson|Holly Hunter|Samuel L. Jackson|Jason Lee|Dominique Louis,Brad Bird,115,Action|Adventure|Animation|Family|Science Fiction,Walt Disney Pictures|Pixar Animation Studios,2004,11,106208976.783,True
Matt Damon|Franka Potente|Brian Cox|Julia Stiles|Karl Urban,Paul Greengrass,108,Action|Drama|Thriller,Universal Pictures|The Kennedy/Marshall Company|Hypnotic|Motion Picture THETA Produktionsgesellschaft|Ludlum Entertainment,2004,7,86583404.9859,True
Brad Pitt|Orlando Bloom|Eric Bana|Brian Cox|Sean Bean,Wolfgang Petersen,163,War|Adventure|Drama,Plan B Entertainment|Warner Bros.|Nimar Studios|Radiant Productions|Helena Productions,2004,5,202027944.967,True
Nicolas Cage|Diane Kruger|Justin Bartha|Sean Bean|Jon Voight,Jon Turteltaub,131,Adventure|Action|Thriller|Mystery,Walt Disney Pictures|Jerry Bruckheimer Films|Saturn Films|Junction Entertainment,2004,11,115444539.981,True
Will Smith|Bridget Moynahan|Alan Tudyk|James Cromwell|Bruce Greenwood,Alex Proyas,115,Action|Science Fiction,Twentieth Century Fox Film Corporation|Laurence Mark Productions|Davis Entertainment|Overbrook Entertainment|Mediastream Vierte Film GmbH & Co. Vermarktungs KG,2004,7,138533447.977,True
Adam Sandler|Drew Barrymore|Rob Schneider|Sean Astin|Lusia Strus,Peter Segal,99,Comedy|Romance,Columbia Pictures Corporation|Happy Madison Productions|Anonymous Content|Flower Films (II),2004,2,86583404.9859,True
Lindsay Lohan|Rachel McAdams|Tim Meadows|Ana Gasteyer|Amy Poehler,Mark Waters,97,Comedy,Paramount Pictures,2004,4,19625571.7968,True
Hugh Jackman|Kate Beckinsale|Richard Roxburgh|David Wenham|Shuler Hensley,Stephen Sommers,132,Horror|Adventure|Action,"Universal Pictures|Stillking Films|Sommers Company, The",2004,5,184711263.97,True
Ron Perlman|Selma Blair|Rupert Evans|John Hurt|Jeffrey Tambor,Guillermo del Toro,122,Fantasy|Action|Science Fiction,Revolution Studios|Dark Horse Entertainment|Lawrence Gordon Productions|Starlite Films,2004,4,76193396.3876,True
Tom Hanks|Michael Jeter|Eddie Deezen|Chris Coppola|Nona Gaye,Robert Zemeckis,100,Animation|Adventure|Family|Fantasy,Castle Rock Entertainment|Golden Mean|Universal CGI|Shangri-La Entertainment|Playtone,2004,11,190483490.969,True
Mike Myers|Eddie Murphy|Cameron Diaz|Julie Andrews|Antonio Banderas,Andrew Adamson|Kelly Asbury|Conrad Vernon,93,Adventure|Animation|Comedy|Family|Fantasy,DreamWorks SKG|Pacific Data Images (PDI)|DreamWorks Animation,2004,5,173166809.972,True
Ashton Kutcher|Amy Smart|William Lee Scott|Elden Henson|Melora Walters,Eric Bress|J. Mackye Gruber,113,Science Fiction|Thriller,New Line Cinema|FilmEngine|Katalyst Films|BenderSpink|Province of British Columbia Production Services Tax Credit,2004,1,15007790.1976,True
Milla Jovovich|Sienna Guillory|Oded Fehr|Thomas Kretschmann|Sophie Vavasseur,Alexander Witt,94,Horror|Action|Science Fiction,Impact Pictures|Constantin Film Ltd.,2004,9,51950042.9915,True
George Clooney|Brad Pitt|Catherine Zeta-Jones|Julia Roberts|Andy GarcÃ­a,Steven Soderbergh,125,Thriller|Crime,Village Roadshow Pictures|Section Eight|Jerry Weintraub Productions|Warner Bros.|WV Films III,2004,12,126988993.979,True
Ben Stiller|Teri Polo|Robert De Niro|Dustin Hoffman|Barbra Streisand,Jay Roach,115,Comedy|Romance,DreamWorks SKG|Universal Pictures|Everyman Pictures|Tribeca Productions,2004,12,92355631.985,True
Dennis Quaid|Jake Gyllenhaal|Emmy Rossum|Dash Mihok|Jay O. Sanders,Roland Emmerich,124,Action|Adventure|Science Fiction|Thriller,Lions Gate Films|Twentieth Century Fox Film Corporation|Centropolis Entertainment|Mark Gordon Productions|Mel's Cite du Cinema,2004,5,144305674.977,True
Leonardo DiCaprio|Cate Blanchett|Kate Beckinsale|John C. Reilly|Alec Baldwin,Martin Scorsese,170,Drama,Appian Way|Forward Pass|Cappa Productions|Warner Bros.|Initial Entertainment Group (IEG),2004,12,133915666.378,False
Tom Cruise|Jamie Foxx|Jada Pinkett Smith|Mark Ruffalo|Peter Berg,Michael Mann,120,Drama|Crime|Thriller,Paramount Pictures|DreamWorks SKG|Parkes/MacDonald Productions|Edge City,2004,8,75038950.9878,True
Simon Pegg|Nick Frost|Kate Ashfield|Lucy Davis|Dylan Moran,Edgar Wright,99,Horror|Comedy,Universal Pictures|Big Talk Productions|StudioCanal|Film4|Working Title Films,2004,4,4617781.59925,True
Wesley Snipes|Kris Kristofferson|Dominic Purcell|Jessica Biel|Ryan Reynolds,David S. Goyer,123,Science Fiction|Action|Horror|Thriller|Adventure,New Line Cinema|Amen Ra Films|Shawn Danielle Productions Ltd.|Imaginary Forces|Marvel Enterprises,2004,12,75038950.9878,True
Tom Hanks|Catherine Zeta-Jones|Stanley Tucci|Chi McBride|Diego Luna,Steven Spielberg,128,Comedy|Drama,DreamWorks SKG|Amblin Entertainment|Parkes/MacDonald Productions,2004,6,69266723.9887,True
Jim Carrey|Meryl Streep|Jude Law|Emily Browning|Liam Aiken,Brad Silberling,108,Adventure|Fantasy|Comedy|Family,Paramount Pictures|Scott Rudin Productions|Nickelodeon Movies|DreamWorks Pictures|Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG,2004,12,161622355.974,True
Clint Eastwood|Hilary Swank|Morgan Freeman|Jay Baruchel|Mike Colter,Clint Eastwood,132,Drama,Lakeshore Entertainment|Malpaso Productions|Epsilon Motion Pictures|Warner Bros.|Albert S. Ruddy Productions,2004,12,34633361.9944,True
Bill Murray|Breckin Meyer|Jennifer Love Hewitt|Stephen Tobolowsky|Evan Arnold,Peter Hewitt,80,Animation|Comedy|Family,Twentieth Century Fox Film Corporation|Davis Entertainment,2004,6,57722269.9906,True
Will Smith|Robert De Niro|RenÃ©e Zellweger|Jack Black|Angelina Jolie,Bibo Bergeron|Vicky Jenson|Rob Letterman,90,Animation|Action|Comedy|Family,DreamWorks SKG|Pacific Data Images (PDI)|DreamWorks Animation,2004,9,86583404.9859,True
Jude Law|Gwyneth Paltrow|Giovanni Ribisi|Angelina Jolie|Bai Ling,Kerry Conran,107,Mystery|Action|Thriller|Science Fiction|Adventure,Paramount Pictures|Natural Nylon Entertainment|Riff Raff Film Productions|Filmauro|Blue Flower Productions,2004,9,80811177.9869,False
Tom Kenny|Clancy Brown|Rodger Bumpass|Bill Fagerbakke|Carolyn Lawrence,Stephen Hillenburg,87,Animation|Comedy|Family,Paramount Pictures|Nickelodeon Movies|Paramount Animation,2004,11,34633361.9944,True
Sandra Bullock|Don Cheadle|Matt Dillon|Michael PeÃ±a|Jennifer Esposito,Paul Haggis,112,Drama,Blackfriars Bridge Films|Yari Film Group|Bob Yari Productions|ApolloProScreen Filmproduktion|Bull's Eye Entertainment,2004,5,7503895.09878,True
Will Ferrell|Christina Applegate|Paul Rudd|David Koechner|Steve Carell,Adam McKay,94,Comedy,Apatow Productions,2004,7,30015580.3951,True
Jennifer Garner|Mark Ruffalo|Judy Greer|Andy Serkis|Kathy Baker,Gary Winick,98,Comedy|Fantasy|Romance,Columbia Pictures|Revolution Studios|Thirteen Productions,2004,4,42714479.793,True
Anne Hathaway|Hugh Dancy|Cary Elwes|Aidan McArdle|Joanna Lumley,Tommy O'Haver,96,Fantasy|Comedy|Family|Romance,Miramax Films,2004,4,35787807.3942,False
Emile Hirsch|Elisha Cuthbert|Timothy Olyphant|James Remar|Chris Marquette,Luke Greenfield,108,Comedy,Regency Enterprises|Epsilon Motion Pictures|New Regency Pictures|Daybreak,2004,4,28861134.9953,True
Johnny Depp|Kate Winslet|Julie Christie|Dustin Hoffman|Freddie Highmore,Marc Forster,106,Drama,Miramax Films|Film Colony,2004,10,28861134.9953,True
Hilary Duff|Jennifer Coolidge|Chad Michael Murray|Dan Byrd|Regina King,Mark Rosman,95,Comedy,Gaylord Films|Warner Bros.|Dylan Sellers Productions|Clifford Werber Productions,2004,7,21934462.5964,True
Sanaa Lathan|Raoul Bova|Ewen Bremner|Colin Salmon|Tommy Flanagan,Paul W.S. Anderson,101,Adventure|Science Fiction|Action,Impact Pictures|Studio Babelsberg|Twentieth Century Fox Film Corporation|Davis Entertainment|Stillking Films,2004,8,80811177.9869,True
Vince Vaughn|Christine Taylor|Ben Stiller|Rip Torn|Justin Long,Rawson Marshall Thurber,92,Comedy,Twentieth Century Fox Film Corporation|Red Hour Films|Mediastream Vierte Film GmbH & Co. Vermarktungs KG,2004,6,23088907.9962,True
David Belle|Cyril Raffaelli|Tony D'Amario|Dany Verissimo-Petit|Bibi Naceri,Pierre Morel,84,Action|Thriller|Science Fiction,Canal Plus|TF1 Films Production|EuropaCorp,2004,11,13853344.7977,False
Colin Farrell|Angelina Jolie|Val Kilmer|Jared Leto|Jonathan Rhys Meyers,Oliver Stone,175,War|History|Action|Adventure|Drama,France 3 CinÃ©ma|Intermedia Films|PathÃ© Renn Productions|Egmond Film & Television|Warner Bros.,2004,11,178939036.971,True
John Cho|Kal Penn|Paula GarcÃ©s|Neil Patrick Harris|David Krumholtz,Danny Leiner,88,Comedy|Adventure,New Line Cinema,2004,5,10390008.5983,True
Cary Elwes|Danny Glover|Monica Potter|Michael Emerson|Ken Leung,James Wan,103,Horror|Mystery|Crime,Twisted Pictures|Evolution Entertainment|Saw Productions Inc.,2004,10,1385334.47977,True
Tobey Maguire|Kirsten Dunst|James Franco|Alfred Molina|Rosemary Harris,Sam Raimi,127,Action|Adventure|Fantasy,Laura Ziskin Productions|Columbia Pictures Corporation|Marvel Enterprises,2004,6,230889079.962,True
Scott Mechlowicz|Jacob Pitts|Michelle Trachtenberg|Travis Wester|Vinnie Jones,Jeff Schaffer,93,Comedy,DreamWorks SKG|The Montecito Picture Company|Blue Sea Productions,2004,2,28861134.9953,False
Denzel Washington|Dakota Fanning|Marc Anthony|Radha Mitchell|Christopher Walken,Tony Scott,146,Action|Drama|Thriller|Crime,Regency Enterprises|Fox 2000 Pictures|Epsilon Motion Pictures|Scott Free Productions|New Regency Pictures,2004,4,80811177.9869,True
Ben Stiller|Jennifer Aniston|Philip Seymour Hoffman|Debra Messing|Alec Baldwin,John Hamburg,90,Comedy|Romance,Universal Pictures|Jersey Films|Loofah Productions,2004,1,48486706.7921,True
Natalie Portman|Jude Law|Julia Roberts|Clive Owen|Colin Stinton,Mike Nichols,104,Drama|Romance,Columbia Pictures,2004,12,31170025.7949,True
Thomas Jane|John Travolta|Will Patton|Roy Scheider|Laura Harring,Jonathan Hensleigh,124,Action|Crime|Drama,Lions Gate Films|VIP 3 Medienfonds|Valhalla Motion Pictures|Marvel Enterprises|VIP 2 Medienfonds,2004,4,38096698.1938,True
Halle Berry|Benjamin Bratt|Sharon Stone|Lambert Wilson|Frances Conroy,Pitof,104,Action|Crime,Village Roadshow Pictures|DiNovi Pictures|Warner Bros.|Frantic Films|Maple Shade Films,2004,7,115444539.981,False
Kieran O'Brien|Margo Stilley|The Dandy Warhols|Elbow|Franz Ferdinand,Michael Winterbottom,66,Drama|Music|Romance,Revolution Films,2004,7,1154445.39981,False
Sarah Polley|Ving Rhames|Jake Weber|Mekhi Phifer|Ty Burrell,Zack Snyder,101,Fantasy|Horror|Action,New Amsterdam Entertainment|Strike Entertainment|Metropolitan Filmexport|Toho-Towa|Cruel and Unusual Films,2004,3,32324471.1947,True
Clive Owen|Ioan Gruffudd|Keira Knightley|Mads Mikkelsen|Joel Edgerton,Antoine Fuqua,126,Adventure|War|History,Jerry Bruckheimer Films|World 2000 Entertainment|Touchstone Pictures|Green Hills Productions,2004,7,138533447.977,True
Vin Diesel|Christina Cox|Colm Feore|Karl Urban|Judi Dench,David Twohy,119,Adventure|Action|Thriller|Science Fiction,Universal Pictures|One Race Productions|Primal Foe Productions|Radar Pictures,2004,6,121216766.98,True
Adam Sandler|TÃ©a Leoni|Paz Vega|Cloris Leachman|Shelbie Bruce,James L. Brooks,130,Comedy,Gracie Films|Columbia Pictures Corporation,2004,12,92355631.985,False
Johnny Depp|John Turturro|Timothy Hutton|Charles S. Dutton|Len Cariou,David Koepp,96,Thriller|Mystery,Columbia Pictures Corporation|Pariah Entertainment Group|Grand Slam Productions|Mel's Cite du Cinema,2004,3,46177815.9925,True
Daniel Craig|Colm Meaney|George Harris|Sally Hawkins|Kenneth Cranham,Matthew Vaughn,105,Drama|Thriller|Crime,Sony Pictures Classics|Marv Films,2004,9,7503895.09878,True
Pierce Brosnan|Salma Hayek|Woody Harrelson|Troy Garity|Russell Hornsby,Brett Ratner,97,Action|Comedy|Crime|Drama,New Line Cinema|Contrafilm|Firm Films,2004,11,69266723.9887,True
Brady Corbet|Soren Fulton|Debora Weston|Lou Hirsch|Alex Barringer,Jonathan Frakes,95,Action|Adventure|Comedy|Family|Fantasy,Studio Canal|Working Title Films|Tracy Films,2004,7,65803387.7893,False
Anne Hathaway|Julie Andrews|HÃ©ctor Elizondo|John Rhys-Davies|Heather Matarazzo,Garry Marshall,113,Comedy|Drama|Family|Romance,Walt Disney Pictures,2004,8,46177815.9925,True
Dennis Quaid|Billy Bob Thornton|Jason Patric|Patrick Wilson|Emilio EchevarrÃ­a,John Lee Hancock,137,Western|History|War,Imagine Entertainment|Touchstone Pictures,2004,4,167394582.973,False
Ethan Hawke|Julie Delpy|Vernon Dobtcheff|Louise Lemoine TorrÃ¨s|Mariane Plasteig,Richard Linklater,80,Drama|Romance,Castle Rock Entertainment|Detour Film Production|Warner Independent Pictures (WIP),2004,2,3117002.57949,True
Sarah Michelle Gellar|Jason Behr|William Mapother|Clea DuVall|KaDee Strickland,Takashi Shimizu,92,Horror|Thriller|Mystery,Ghost House Pictures|Vertigo Entertainment|Senator International|Colombia Pictures|Fellah Pictures,2004,10,11544453.9981,True
Chris Evans|Kim Basinger|Jason Statham|Jessica Biel|William H. Macy,David R. Ellis,94,Action|Adventure|Crime|Thriller,New Line Cinema,2004,9,28861134.9953,True
